Scans,Date,Time,Integrating Light,microMole/s/m2
205,31/08/2017 , 14:00:00,65535,58870.32
206,31/08/2017 , 16:00:00,29597,26605.19
207,31/08/2017 , 18:00:00,10539,9494.91
208,31/08/2017 , 20:00:00,1546,1421
209,31/08/2017 , 22:00:00,0,33
210,31/08/2017 , 24:00:00,0,33
211,1/9/2017, 02:00:00,0,33
212,1/9/2017, 04:00:00,0,33
213,1/9/2017, 06:00:00,0,33
214,1/9/2017, 08:00:00,2018,1844.76
215,1/9/2017, 10:00:00,43083,38712.92
216,1/9/2017, 12:00:00,34272,30802.4
217,1/9/2017, 14:00:00,65535,58870.32
218,1/9/2017, 16:00:00,33055,29709.78
219,1/9/2017, 18:00:00,9593,8645.6
220,1/9/2017, 20:00:00,1157,1071.75
221,1/9/2017, 22:00:00,0,33
222,1/9/2017, 24:00:00,0,33
223,2/9/2017, 02:00:00,0,33
224,2/9/2017, 04:00:00,0,33
225,2/9/2017, 06:00:00,0,33
226,2/9/2017, 08:00:00,1770,1622.11
227,2/9/2017, 10:00:00,45462,40848.78
228,2/9/2017, 12:00:00,43907,39452.7
229,2/9/2017, 14:00:00,65535,58870.32
230,2/9/2017, 16:00:00,20024,18010.55
231,2/9/2017, 18:00:00,9734,8772.19
232,2/9/2017, 20:00:00,727,685.7
233,2/9/2017, 22:00:00,0,33
234,2/9/2017, 24:00:00,0,33
235,3/9/2017, 02:00:00,0,33
236,3/9/2017, 04:00:00,0,33
237,3/9/2017, 06:00:00,0,33
238,3/9/2017, 08:00:00,1478,1359.95
239,3/9/2017, 10:00:00,24572,22093.74
240,3/9/2017, 12:00:00,35975,32331.36
241,3/9/2017, 14:00:00,65535,58870.32
242,3/9/2017, 16:00:00,28066,25230.65
243,3/9/2017, 18:00:00,8900,8023.42
244,3/9/2017, 20:00:00,1176,1088.81
245,3/9/2017, 22:00:00,0,33
246,3/9/2017, 24:00:00,0,33
247,4/9/2017, 02:00:00,0,33
248,4/9/2017, 04:00:00,0,33
249,4/9/2017, 06:00:00,0,33
250,4/9/2017, 08:00:00,2355,2147.32
251,4/9/2017, 10:00:00,14392,12954.14
252,4/9/2017, 12:00:00,33554,30157.78
253,4/9/2017, 14:00:00,14468,13022.37
254,4/9/2017, 16:00:00,9355,8431.92
255,4/9/2017, 18:00:00,7386,6664.15
256,4/9/2017, 20:00:00,740,697.37
257,4/9/2017, 22:00:00,0,33
258,4/9/2017, 24:00:00,0,33
259,5/9/2017, 02:00:00,0,33
260,5/9/2017, 04:00:00,0,33
261,5/9/2017, 06:00:00,0,33
262,5/9/2017, 08:00:00,1726,1582.6
263,5/9/2017, 10:00:00,15883,14292.76
264,5/9/2017, 12:00:00,38712,34788.63
265,5/9/2017, 14:00:00,65535,58870.32
266,5/9/2017, 16:00:00,21937,19728.04
267,5/9/2017, 18:00:00,6192,5592.18
268,5/9/2017, 20:00:00,1065,989.16
269,5/9/2017, 22:00:00,0,33
270,5/9/2017, 24:00:00,0,33
271,6/9/2017, 02:00:00,0,33
272,6/9/2017, 04:00:00,0,33
273,6/9/2017, 06:00:00,0,33
274,6/9/2017, 08:00:00,1345,1240.54
275,6/9/2017, 10:00:00,10725,9661.91
276,6/9/2017, 12:00:00,30857,27736.41
277,6/9/2017, 14:00:00,26431,23762.75
278,6/9/2017, 16:00:00,10229,9216.6
279,6/9/2017, 18:00:00,4768,4313.71
280,6/9/2017, 20:00:00,802,753.04
281,6/9/2017, 22:00:00,0,33
282,6/9/2017, 24:00:00,0,33
283,7/9/2017, 02:00:00,0,33
284,7/9/2017, 04:00:00,0,33
285,7/9/2017, 06:00:00,0,33
286,7/9/2017, 08:00:00,1581,1452.42
287,7/9/2017, 10:00:00,8555,7713.68
288,7/9/2017, 12:00:00,27358,24595.01
289,7/9/2017, 14:00:00,22103,19877.07
290,7/9/2017, 16:00:00,20560,18491.77
291,7/9/2017, 18:00:00,6936,6260.14
292,7/9/2017, 20:00:00,767,721.61
293,7/9/2017, 22:00:00,0,33
294,7/9/2017, 24:00:00,0,33
295,8/9/2017, 02:00:00,0,33
296,8/9/2017, 04:00:00,0,33
297,8/9/2017, 06:00:00,0,33
298,8/9/2017, 08:00:00,774,727.9
299,8/9/2017, 10:00:00,8202,7396.76
300,8/9/2017, 12:00:00,13644,12282.58
301,8/9/2017, 14:00:00,9807,8837.72
302,8/9/2017, 16:00:00,8172,7369.82
303,8/9/2017, 18:00:00,4099,3713.08
304,8/9/2017, 20:00:00,878,821.27
305,8/9/2017, 22:00:00,0,33
306,8/9/2017, 24:00:00,0,33
307,9/9/2017, 02:00:00,0,33
308,9/9/2017, 04:00:00,0,33
309,9/9/2017, 06:00:00,0,33
310,9/9/2017, 08:00:00,1424,1311.47
311,9/9/2017, 10:00:00,7311,6596.82
312,9/9/2017, 12:00:00,23487,21119.63
313,9/9/2017, 14:00:00,65535,58870.32
314,9/9/2017, 16:00:00,44355,39854.92
315,9/9/2017, 18:00:00,9708,8748.84
316,9/9/2017, 20:00:00,753,709.04
317,9/9/2017, 22:00:00,0,33
318,9/9/2017, 24:00:00,0,33
319,10/9/2017, 02:00:00,0,33
320,10/9/2017, 04:00:00,0,33
321,10/9/2017, 06:00:00,0,33
322,10/9/2017, 08:00:00,1600,1469.48
323,10/9/2017, 10:00:00,8395,7570.03
324,10/9/2017, 12:00:00,20720,18635.42
325,10/9/2017, 14:00:00,65535,58870.32
326,10/9/2017, 16:00:00,41959,37703.79
327,10/9/2017, 18:00:00,8810,7942.62
328,10/9/2017, 20:00:00,902,842.82
329,10/9/2017, 22:00:00,0,33
330,10/9/2017, 24:00:00,0,33
331,11/9/2017, 02:00:00,0,33
332,11/9/2017, 04:00:00,0,33
333,11/9/2017, 06:00:00,0,33
334,11/9/2017, 08:00:00,1825,1671.49
335,11/9/2017, 10:00:00,9193,8286.48
336,11/9/2017, 12:00:00,20995,18882.31
337,11/9/2017, 14:00:00,65535,58870.32
338,11/9/2017, 16:00:00,35720,32102.42
339,11/9/2017, 18:00:00,9193,8286.48
340,11/9/2017, 20:00:00,795,746.75
341,11/9/2017, 22:00:00,0,33
342,11/9/2017, 24:00:00,0,33
343,12/9/2017, 02:00:00,0,33
344,12/9/2017, 04:00:00,0,33
345,12/9/2017, 06:00:00,0,33
346,12/9/2017, 08:00:00,2102,1920.18
347,12/9/2017, 10:00:00,8494,7658.91
348,12/9/2017, 12:00:00,21204,19069.95
349,12/9/2017, 14:00:00,65535,58870.32
350,12/9/2017, 16:00:00,40289,36204.46
351,12/9/2017, 18:00:00,8552,7710.99
352,12/9/2017, 20:00:00,1062,986.46
353,12/9/2017, 22:00:00,0,33
354,12/9/2017, 24:00:00,0,33
355,13/09/2017 , 02:00:00,0,33
356,13/09/2017 , 04:00:00,0,33
357,13/09/2017 , 06:00:00,0,33
358,13/09/2017 , 08:00:00,1036,963.12
359,13/09/2017 , 10:00:00,8133,7334.81
360,13/09/2017 , 12:00:00,18631,16759.91
361,13/09/2017 , 14:00:00,62824,56436.39
362,13/09/2017 , 16:00:00,18443,16591.13
363,13/09/2017 , 18:00:00,6707,6054.54
364,13/09/2017 , 20:00:00,484,467.54
365,13/09/2017 , 22:00:00,0,33
366,13/09/2017 , 24:00:00,0,33
367,14/09/2017 , 02:00:00,0,33
368,14/09/2017 , 04:00:00,0,33
369,14/09/2017 , 06:00:00,0,33
370,14/09/2017 , 08:00:00,1321,1218.99
371,14/09/2017 , 10:00:00,8443,7613.13
372,14/09/2017 , 12:00:00,24465,21997.68
373,14/09/2017 , 14:00:00,65535,58870.32
374,14/09/2017 , 16:00:00,45439,40828.13
375,14/09/2017 , 18:00:00,5603,5063.37
376,14/09/2017 , 20:00:00,575,549.24
377,14/09/2017 , 22:00:00,0,33
378,14/09/2017 , 24:00:00,0,33
379,15/09/2017 , 02:00:00,0,33
380,15/09/2017 , 04:00:00,0,33
381,15/09/2017 , 06:00:00,0,33
382,15/09/2017 , 08:00:00,1467,1350.07
383,15/09/2017 , 10:00:00,3823,3465.29
384,15/09/2017 , 12:00:00,1080,1002.62
385,15/09/2017 , 14:00:00,1161,1075.35
